,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
samsmith,0.03893504,0.10939457,0.0661792,0.08283414,0.1555284,0.07668194,0.26837638,0.0338723,0.04141682,0.12678121
saquon,0.028748104,0.092753276,0.07400427,0.048261505,0.1295535,0.11533313,0.30011684,0.052666202,0.04631207,0.112251125
saraunderwood,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
sashapieterse,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
savmontano,0.029624606,0.09558123,0.07626059,0.06497191,0.13350347,0.088363685,0.27878633,0.05426829,0.047724083,0.13091579
shaymitchell,0.042285375,0.09097417,0.07191077,0.046896294,0.14000936,0.11227789,0.287917,0.05117132,0.045002677,0.11155518
shitheadsteve,0.026772207,0.08637374,0.06891488,0.058712028,0.16195674,0.07985175,0.2656849,0.07659291,0.0431281,0.13201277
skaijackson,0.029624498,0.11082373,0.07626031,0.04973277,0.13350299,0.088363364,0.29402915,0.039030947,0.04772391,0.1309084
sofiarichie,0.029626163,0.110823646,0.076260924,0.049733683,0.1335015,0.10360194,0.29402193,0.03903247,0.04772549,0.1156722
sofiavergara,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
sommerray2,0.031043874,0.10016039,0.079914115,0.06808755,0.13989942,0.09259705,0.27617082,0.04090101,0.050010473,0.121215306
sophiet,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
stassiebaby,0.023528136,0.10012265,0.060566865,0.039498374,0.17866291,0.094381444,0.3061559,0.04310153,0.05000852,0.10397366
summermckeen,0.04353637,0.107596025,0.07403927,0.048284344,0.12961474,0.08578982,0.31460693,0.037894215,0.046334,0.1123042
supremenewyork,0.04416635,0.09415972,0.07512642,0.048993308,0.14651155,0.08704951,0.304575,0.03845061,0.04701432,0.11395322
swaggyp1,0.029181227,0.09415071,0.09013202,0.06400273,0.14651565,0.08704118,0.274574,0.03844693,0.04700982,0.12894568
tanamongeau,0.038427163,0.13405734,0.0783673,0.0425937,0.12738772,0.075680755,0.29097816,0.0464692,0.04087342,0.12516524
taylor_hill,0.046277963,0.09858699,0.07865876,0.05129691,0.15340984,0.09114246,0.27183253,0.0402585,0.04922487,0.119311154
